No,Code,River,Detail,Amphoe,Province,Lat,Long,Remark,Bank_level,Normal_WL,Danger_WL,River_cap,Normal_Q,Danger_Q
598,X.196,????????,?????????,????,?????,8.702452,98.409122,"WL,Q",18.54,16.5,18.54,235,69,235
600,X.207,???????????,?????????????,???????,?????,10.400022,98.786481,"WL,Q,R",4.6,3,4.6,32.8,9.9,32.8
603,X.209,?????????????? (????),???????????,?????,?????,9.958392,98.648548,"WL,Q",9.8,8.5,9.8,93.5,28.5,93.5
604,X.228,??????????,????????,?????,????,7.64528,99.5325,"WL,Q",8.4,8.3,8.4,505,490,505
605,X.231A,????????,???????????????,????,????,6.87577,99.78264,WL,3,2.3,3,,,
606,X.233,??????????,?????????,???????,????,7.907409,99.542433,"WL,Q",21.7,20,21.7,243,175,243
607,X.234,?????????? (????),???????????,?????,????,7.588889,99.576944,"WL,Q",6.4,4.5,6.4,425,230,425
608,X.236,???????????? (????),?????????????,?????????,????,7.371944,99.676944,"WL,Q,R",5.1,4,5.1,224.5,153,224.5
609,X.239,????????,?????????????,?????,????,6.726616,100.062743,"WL,Q,R",16.2,15,16.2,87,36,87
612,X.279,????????,???????????,??????,????,6.777411,100.071486,"WL,Q",23.2,22,23.2,84,50.5,84
613,X.280,????????,??????????,?????,????,6.645141,100.06741,WL,3,2.3,3,,,
614,X.281,????????,????????,??????,????,6.8035,100.0966,"WL,R",29.19,28.21,29.19,,,
