No,Code,River,Detail,Amphoe,Province,Lat,Long,Remark,Bank_level,Normal_WL,Danger_WL,River_cap,Normal_Q,Danger_Q
191,M.204,ลำบริบูรณ์,บ้านสีจาน,ขามทะเลสอ,นครราชสีมา,,,"WL,Q",,,,,,
192,M.205,ลำบริบูรณ์,บ้านนาตม,เมือง,นครราชสีมา,,,"WL,Q",,,,,,
193,M.206,ลำเชียงไกร,บ้านหนองกระสัง,โนนไทย,นครราชสีมา,,,"WL,Q",,,,,,
194,M.208,ลำเซบาย,สะพานมิตรไมตรี,เขื่องใน,อุบลราชธานี,,,"WL,Q",,,,,,
195,M.211,ลำโดมใหญ่,บ้านนาเยีย,นาเยีย,อุบลราชธานี,,,"WL,Q",,,,,,
196,P.1,แม่น้ำปิง,สะพานนวรัฐ,เมือง,เชียงใหม่,18.786925,99.004725,"WL,Q",3.7,3,3.7,405,346,405
197,P.2A,แม่น้ำปิง,บ้านท่าแค,เมือง,ตาก,16.855256,99.124497,"WL,Q",,,,,,
198,P.4A,น้ำแม่แตง,บ้านแม่แตง,แม่แตง,เชียงใหม่,19.122235,98.944366,"WL,Q",3.8,3.04,3.8,374,257.6,374
199,P.5,น้ำแม่กวง,สะพานท่านาง,เมือง,ลำพูน,18.580277,99.010152,"WL,Q",5,4,5,116.5,66,116.5
200,P.7A,แม่น้ำปิง,ในเมือง,เมือง,กำแพงเพชร,16.477723,99.517919,"WL,Q,R",,,,,,
201,P.12C,แม่น้ำปิง,บ้านย่านรี,สามเงา,ตาก,17.238179,99.026262,"WL,Q",,,,,,
202,P.14A,น้ำแม่แจ่ม,สะพานท่าข้าม,จอมทอง,เชียงใหม่,,,"WL,Q",,,,,,
203,P.15,แม่น้ำปิง,หน้าวัดศรีภิรมย์,คลองขลุง,กำแพงเพชร,16.214138,99.722329,"WL,Q",,,,,,
204,P.16,แม่น้ำปิง,บ้านแสนตอ,ขาณุวรลักษบุรี,กำแพงเพชร,16.064671,99.860192,"WL,Q",,,,,,
205,P.17,แม่น้ำปิง,บ้านท่างิ้ว,บรรพตพิสัย,นครสวรรค์,15.935391,99.976088,"WL,Q",38.7,38,38.7,1760,,
206,P.20,แม่น้ำปิง,บ้านเชียงดาว,เชียงดาว,เชียงใหม่,19.36734377,98.9688035,"WL,Q",2.8,2.24,2.8,276,200.2,276
207,P.21,แม่น้ำริม,บ้านเหมืองผ่า,แม่ริม,เชียงใหม่,18.929167,98.943056,"WL,Q",3.8,3.04,3.8,50.65,34.86,50.65
208,P.24D,น้ำแม่กลาง,บ้านหลวงใต้,จอมทอง,เชียงใหม่,,,"WL,Q",,,,,,
209,P.26B,คลองสวนหมาก,บ้านน้ำโท้ง,เมือง,กำแพงเพชร,16.457413,99.456066,"WL,Q",,,,,,
210,P.47A,คลองสวนหมาก,บ้านโปร่งน้ำร้อน,คลองลาน,กำแพงเพชร,16.328378,99.298043,"WL,Q",,,,,,
211,P.50A,คลองวังเจ้า,บ้านไทยทวี,โกสัมพีนคร,กำแพงเพชร,16.639246,99.242807,"WL,Q",,,,,,
212,P.56A,น้ำแม่งัด,บ้านสหกรณ์ร่มเกล้า,พร้าว,เชียงใหม่,,,"WL,Q",,,,,,
213,P.64,น้ำแม่ตื่น,บ้านหลวง,อมก๋อย,เชียงใหม่,,,"WL,Q,R",,,,,,
214,P.65,น้ำแม่แตง,บ้านม่วงป๊อก,เวียงแหง,เชียงใหม่,,,"WL,Q,R",,,,,,
215,P.67,แม่น้ำปิง,บ้านแม่แต,สันทราย,เชียงใหม่,19.008691,98.959922,"WL,Q",3,2.2,3,380.2,273.6,380.2
216,P.71A,น้ำแม่ขาน,บ้านกลาง,สันป่าตอง,เชียงใหม่,,,"WL,Q",,,,,,
217,P.73,แม่น้ำปิง,บ้านสบสอย,จอมทอง,เชียงใหม่,,,WL,,,,,,
218,P.73A,แม่น้ำปิง,บ้านสบแปะ,จอมทอง,เชียงใหม่,,,"WL,Q",,,,,,
219,P.75,แม่น้ำปิง,บ้านช่อแล,แม่แตง,เชียงใหม่,19.147421,99.007095,"WL,Q",3,2.4,3,129.5,91,129.5
220,P.76,น้ำแม่ลี้,บ้านแม่อีไฮ,ลี้,ลำพูน,18.140571,98.89578,"WL,Q,R",5.4,4.32,5.4,252,151.7,252
221,P.77,น้ำแม่ทา,บ้านสบแม่สะป๊วด,แม่ทา,ลำพูน,18.434652,99.085512,"WL,Q",4,3.2,4,74.1,31.18,74.1
222,P.78,คลองขลุง,บ้านสามเรือน,คลองขลุง,กำแพงเพชร,16.181594,99.598364,"WL,Q",,,,,,
223,P.79,น้ำแม่กวง,บ้านแม่หวาน,ดอยสะเก็ด,เชียงใหม่,,,"WL,Q",,,,,,
224,P.80,น้ำแม่ลาย,บ้านโป่งดิน,ดอยสะเก็ด,เชียงใหม่,,,"WL,Q",,,,,,
225,P.81,น้ำแม่กวง,บ้านโป่ง,สันกำแพง,เชียงใหม่,18.695214,99.078752,"WL,Q",5.8,4.64,5.8,102.12,67.92,102.12
226,P.82,น้ำแม่วาง,บ้านสบวิน,แม่วาง,เชียงใหม่,18.654864,98.684952,"WL,Q,R",3.8,3.04,3.8,142.3,91.46,142.3
227,P.84,น้ำแม่วาง,บ้านพันตน,แม่วาง,เชียงใหม่,18.59133,98.79662,"WL,Q",4,3.2,4,85,58.8,85
228,P.85,น้ำแม่ลี้,บ้านหล่ายแก้ว,บ้านโฮ่ง,ลำพูน,18.36642,98.7721,"WL,Q",3.5,2.8,3.5,297.7,226,297.7
229,P.86,น้ำแม่ออน,บ้านโห้ง,สันกำแพง,เชียงใหม่,,,"WL,Q",,,,,,
230,P.87,น้ำแม่ทา,บ้านป่าซาง,ป่าซาง,ลำพูน,18.520176,98.942707,"WL,Q",4.1,3.28,4.1,87.3,48.66,87.3
